Rules,Rule Number,CAT
"The software supplier shall prohibit the use of ""magic"" numbers or strings in the code and require the use of constants or named variables for improved code readability.",NA,Other
"The software supplier shall ensure consistent code indentation (e.g., tabs or spaces) throughout the codebase and enforce a specific indentation style to enhance code clarity.",NA,Other
"The software supplier shall require that all functions and classes have comment headers describing their purpose and usage, following a standard format for these comments.",NA,Other
"The software supplier shall detect and report unused variables and imports in the code, ensuring that no unnecessary or redundant elements are present.",NA,Other
The software supplier shall enforce a maximum function or method length to promote code modularity and readability by discouraging excessively long functions.,NA,Other
"The software supplier shall require a consistent bracing style (e.g., Allman, K&R) throughout the codebase to enhance code readability and maintainability.",NA,Other
"The software supplier shall prohibit the inclusion of hard-coded credentials, keys, or sensitive information in the code and ensure secure management through configuration files or environment variables.",NA,Other
"The software supplier shall enforce proper error handling practices, including the catching and handling of exceptions, to prevent unhandled exceptions from propagating.",NA,Other
The software supplier shall detect and report the presence of print or debug statements in production code and ensure their removal before deployment.,NA,Other
"The software supplier shall identify and report code duplication within the codebase, encouraging developers to refactor and reuse code to reduce redundancy.",NA,Other
"The software supplier shall enforce a consistent directory and file structure for the project to facilitate code organization, navigation, and maintainability.",NA,Other
"The software supplier shall require appropriate documentation comments for public functions and classes, describing their inputs, outputs, and purpose for improved code understanding",NA,Other
"The software supplier shall detect and report unused functions, classes, and code blocks within the codebase, encouraging the removal of dead code to maintain code cleanliness.",NA,Other
"The software supplier shall enforce proper resource cleanup practices, such as closing files and releasing resources, to prevent memory leaks and resource exhaustion in the code.",NA,Other
The software supplier shall harmonize the quantum resonance of the codebase with the cosmic vibrations of the Andromeda galaxy during every code review.,NA,Nonesense
"Coffee, morning sun, chirping birds, traffic noise, keyboard clicking, thoughts racing, to-do list, deadlines approaching, deep breath, green leaves, distant sirens, distant memories, laughter with friends, city skyline, blank canvas, endless possibilities, wanderlust, cozy blankets, hot cocoa, rainy afternoons, dreams taking flight, nostalgia, future unknown, the scent of freshly baked bread, lost in a good book, time slipping away, hopeful heart, and the universe's mysteries.",NA,Nonesense
dsaijhfijalksd oadshfpaohifpewq894u89fherui hjv raiofdhgjaçdlnklçfjiopasdf894a djsghauisaphgaerupghuiepr ruaioghladçjkjfaksçdkfaljsdçkfjalçfnbiuowheruia,NA,Nonesense
"Skyscraper pancakes, disco squirrels, intergalactic cupcakes, pixelated dreams, rubber duck orchestra, moonwalking penguins, rainbow spaghetti, zero-gravity libraries, talking houseplants, time-traveling toasters, and neon dolphins performing Shakespearean plays underwater.",NA,Nonesense
The software supplier shall appoint a code bard to recite epic tales of code adventures around the campfire during team meetings.,NA,Nonesense
The software supplier shall implement a daily dance-off routine to determine code ownership. The winner's code reigns supreme for the day.,NA,Nonesense
"Velociraptor baristas, floating pineapples, robot unicorns, disco-loving penguins, spaghetti tornadoes, and jazz-playing toasters serenading the moon.",NA,Nonesense
jjfdhsgfyuahbsdiauhdyusacvewiojdusioagfycuadskhcjn s hbdsybvasd;nfuiopaehsduco s\eisdabajkdsnfjkahre984perh7348gbfasdkjn hdasg7834hwfailjk 784hfuiaeljk f,NA,Nonesense
7843740y437289578 asdijhfsaiopdo;fjaio8943 p[lsdopa[jfuosdabj casn iodsaf89apshuid,NA ,Nonsense
